neighborhood_id,market_id,neighborhood,city,county,size_rank,latest_value,latest_month,base_price_per_sqft
251975,395078,South Tacoma,Tacoma,Pierce County,430,409909.2347028162,2026-08-31,204.95461735140807
396864,395078,East Hill-Meridian,Kent,King County,497,650122.9304297393,2026-08-31,325.06146521486966
272015,395078,West End,Tacoma,Pierce County,516,598777.7953470311,2026-08-31,299.38889767351554
271936,395078,North End,Tacoma,Pierce County,615,649570.11215248,2026-08-31,324.78505607624004
271832,395078,Central,Tacoma,Pierce County,656,458452.3298366478,2026-08-31,229.2261649183239
396865,395078,North Lynnwood,Lynnwood,Snohomish County,677,634701.4014795736,2026-08-31,317.35070073978676
271990,395078,Magnolia,Seattle,King County,759,1246519.4114396134,2026-08-31,623.2597057198067
267699,395078,Twin Lakes,Federal Way,King County,778,581329.3034041243,2026-08-31,290.66465170206214
808346,395209,Dale City,Woodbridge,Prince William County,197,482810.9765621528,2026-08-31,241.4054882810764
31636,395209,Franconia,Alexandria,Fairfax County,301,627568.9543181146,2026-08-31,313.7844771590573
121697,395209,Columbia Heights,Washington,District of Columbia,356,592777.1511246238,2026-08-31,296.3885755623119
811144,395209,Fair Oaks,Fairfax,Fairfax County,388,631727.4043863487,2026-08-31,315.86370219317433
121685,395209,Capitol Hill,Washington,District of Columbia,393,910683.2936120848,2026-08-31,455.34164680604243
272744,395209,Alexandria West,Alexandria,Alexandria City,450,359719.457724714,2026-08-31,179.859728862357
274264,395209,Landmark-Van Dom,Alexandria,Alexandria City,467,359588.1898280429,2026-08-31,179.79409491402143
275081,395209,Potomac West,Alexandria,Alexandria City,561,876517.4802777037,2026-08-31,438.25874013885186
275328,395209,Seminary Hill,Alexandria,Alexandria City,623,593162.3084344609,2026-08-31,296.58115421723045
18921,395209,Lake Ridge,Woodbridge,Prince William County,647,511634.24968537525,2026-08-31,255.81712484268763
244509,395209,Hybla Valley,Alexandria,Fairfax County,697,659575.2701574486,2026-08-31,329.7876350787243
121774,395209,Petworth,Washington,District of Columbia,756,618611.7821060737,2026-08-31,309.3058910530368
118208,753899,South Los Angeles,Los Angeles,Los Angeles County,4,660809.9078533108,2026-08-31,330.4049539266554
268496,753899,Southeast Los Angeles,Los Angeles,Los Angeles County,8,594375.4124564892,2026-08-31,297.18770622824456
32059,753899,Hollywood,Los Angeles,Los Angeles County,21,862157.1306409995,2026-08-31,431.07856532049976
46795,753899,North Hollywood,Los Angeles,Los Angeles County,41,847173.122794577,2026-08-31,423.5865613972885
276476,753899,North Long Beach,Long Beach,Los Angeles County,49,710683.2984416117,2026-08-31,355.34164922080583
41466,753899,Van Nuys,Los Angeles,Los Angeles County,61,789735.8792963015,2026-08-31,394.86793964815075
274514,753899,Mid City,Los Angeles,Los Angeles County,65,1175806.428004489,2026-08-31,587.9032140022446
34213,753899,Sylmar,Los Angeles,Los Angeles County,66,778039.6283375233,2026-08-31,389.0198141687617
54300,753899,San Pedro,Los Angeles,Los Angeles County,68,833349.7309374707,2026-08-31,416.67486546873533
33183,753899,Northridge,Los Angeles,Los Angeles County,69,1053313.4966147195,2026-08-31,526.6567483073597
48570,753899,Woodland Hills,Los Angeles,Los Angeles County,70,1178741.8366375505,2026-08-31,589.3709183187752
113886,753899,Boyle Heights,Los Angeles,Los Angeles County,73,633185.1288085055,2026-08-31,316.59256440425276
